month,year,production,total use,ending stock
1,2008,13074,12955,1438
2,2008,13074,12955,1438
3,2008,13074,12955,1438
4,2008,13074,13110,1283
5,2008,12125,12760,763
6,2008,11735,12510,673
7,2008,11715,12495,833
8,2008,12288,12745,1133
9,2008,12072,12645,1018
10,2008,12200,12685,1154
11,2008,12020,12535,1124
12,2008,12020,12185,1474
1,2009,12101,11950,1790
2,2009,12101,11950,1790
3,2009,12101,12000,1740
4,2009,12101,12040,1700
5,2009,12090,12560,1145
6,2009,11935,12460,1090
7,2009,12290,12525,1150
8,2009,12761,12875,1621
9,2009,12954,13025,1635
10,2009,13018,13030,1672
11,2009,12921,12980,1625
12,2009,12921,12930,1675
1,2010,13151,13070,1764
2,2010,13151,13115,1719
3,2010,13131,13015,1799
4,2010,13131,13015,1899
5,2010,13131,12915,1818
6,2010,13370,13410,1573
7,2010,13245,13360,1373
8,2010,13365,13490,1312
9,2010,13160,13440,1116
10,2010,12664,13480,902
11,2010,12540,13430,827
12,2010,12540,13430,832
1,2011,12447,13430,745
2,2011,12447,13500,675
3,2011,12447,13500,675
4,2011,12447,13500,675
5,2011,13505,13355,900
6,2011,13200,13255,695
7,2011,13470,13500,870
8,2011,12914,13160,714
9,2011,12497,12760,672
10,2011,12433,12710,866
11,2011,12310,12610,843
12,2011,12310,12605,848
1,2012,12358,12655,846
2,2012,12358,12705,801
3,2012,12358,12705,801
4,2012,12358,12705,801
5,2012,14790,13775,1881
6,2012,14790,13775,1881
7,2012,12970,12720,1183
8,2012,10779,11225,650
9,2012,10727,11250,733
10,2012,10706,11150,619
11,2012,10725,11167,647
12,2012,10725,11167,647
1,2013,10780,11267,602
2,2013,10780,11237,632
3,2013,10780,11262,632
4,2013,10780,11137,757
5,2013,14140,12920,2004
6,2013,14005,12850,1949
7,2013,13950,12750,1959
8,2013,13763,12675,1837
9,2013,13843,12675,1855
10,2013,13843,12675,1855
11,2013,13989,12950,1887
12,2013,13989,13050,1792
1,2014,13925,13150,1631
2,2014,13925,13300,1481
3,2014,13925,13325,1456
4,2014,13925,13450,1331
5,2014,13935,13385,1726
6,2014,13935,13385,1726
7,2014,13860,13335,1801
8,2014,14032,13435,1808
9,2014,14395,13605,2002
10,2014,14475,13655,2081
11,2014,14407,13660,2008
12,2014,14407,13670,1998
1,2015,14216,13595,1877
2,2015,14216,13645,1827
3,2015,14216,13695,1777
4,2015,14216,13645,1827
5,2015,13630,13760,1746
6,2015,13630,13760,1771
7,2015,13530,13735,1599
8,2015,13686,13775,1713
9,2015,13585,13755,1592
10,2015,13555,13755,1561
11,2015,13654,13655,1760
12,2015,13654,13630,1785
1,2016,13601,13570,1802
2,2016,13601,13545,1837
3,2016,13601,13545,1837
4,2016,13601,13521,1862
5,2016,14430,14120,2153
6,2016,14430,14170,2008
7,2016,14540,14200,2081
8,2016,15153,14500,2409
9,2016,15093,14475,2384
10,2016,15057,14525,2320
11,2016,15226,14610,2403
12,2016,15226,14610,2403
1,2017,15148,14585,2355
2,2017,15148,14620,2320
3,2017,15148,14620,2320
4,2017,15148,14620,2320
5,2017,14065,14300,2110
6,2017,14065,14300,2110
7,2017,14255,14350,2325
8,2017,14153,14300,2273
9,2017,14184,14250,2335
10,2017,14280,14285,2340
11,2017,14578,14435,2487
12,2017,14578,14485,2437
1,2018,14604,14470,2477
2,2018,14604,14595,2352
3,2018,14604,14820,2127
4,2018,14604,14765,2182
5,2018,14040,14590,1682
