MD,Date,Open,High,Low,Settle,Volume,Prev. Day Open Interest,Date2,Date3,Settle_3,Cost_o_C,Month,Day,M_D,YMD,MD,Slope
200801,2008-01-23,489.0,489.0,469.0,469.25,23365.0,575829.0,2008-01-23,20080123,490.0,20.75,1,23,200801,20080123,200801,1
200802,2008-02-22,524.0,524.0,519.5,522.25,34753.0,175471.0,2008-02-22,20080222,546.75,24.5,2,22,200802,20080222,200802,1
200803,2008-03-24,515.0,525.5,514.75,524.75,149989.0,457604.0,2008-03-24,20080324,540.0,15.25,3,24,200803,20080324,200803,1
200804,2008-04-21,590.0,590.0,569.5,580.25,51173.0,204159.0,2008-04-21,20080421,603.25,23.0,4,21,200804,20080421,200804,1
200805,2008-05-21,592.5,609.0,591.0,607.25,102239.0,525314.0,2008-05-21,20080521,633.5,26.25,5,21,200805,20080521,200805,1
200806,2008-06-20,732.0,738.0,717.75,721.25,172707.0,219181.0,2008-06-20,20080620,755.5,34.25,6,20,200806,20080620,200806,1
200807,2008-07-22,587.0,588.0,571.25,573.5,50636.0,342926.0,2008-07-22,20080722,611.25,37.75,7,22,200807,20080722,200807,1
200808,2008-08-21,589.0,605.0,589.0,597.75,39300.0,118504.0,2008-08-21,20080821,637.0,39.25,8,21,200808,20080821,200808,1
200809,2008-09-22,558.5,564.5,554.0,558.5,107830.0,555275.0,2008-09-22,20080922,587.25,28.75,9,22,200809,20080922,200809,1
200810,2008-10-21,412.5,418.0,406.75,411.0,99746.0,446063.0,2008-10-21,20081021,439.25,28.25,10,21,200810,20081021,200810,1
200811,2008-11-21,360.0,360.0,337.5,338.5,95876.0,209954.0,2008-11-21,20081121,365.5,27.0,11,21,200811,20081121,200811,1
200812,2008-12-19,384.0,384.0,375.5,380.75,73190.0,372189.0,2008-12-19,20081219,401.0,20.25,12,19,200812,20081219,200812,1
200901,2009-01-23,384.0,400.5,384.0,390.5,88256.0,318332.0,2009-01-23,20090123,412.0,21.5,1,23,200901,20090123,200901,1
200902,2009-02-23,356.0,357.0,349.75,351.75,124200.0,111820.0,2009-02-23,20090223,370.75,19.0,2,23,200902,20090223,200902,1
200903,2009-03-20,397.5,398.0,395.0,396.5,111298.0,274135.0,2009-03-20,20090320,416.0,19.5,3,20,200903,20090320,200903,1
200904,2009-04-22,378.0,378.0,370.5,373.5,91117.0,130185.0,2009-04-22,20090422,392.25,18.75,4,22,200904,20090422,200904,1
200905,2009-05-21,422.0,427.75,417.5,424.0,105441.0,366387.0,2009-05-21,20090521,445.5,21.5,5,21,200905,20090521,200905,1
