,NAME,temp_mean,month,year,temp_mean_full,temp_difference,rain_mean,rain_mean_full,rain_difference,Cost_o_C,Slope,temp_difference_abs,rain_difference_abs,production,total use,ending stock,interaction,dummy
0,Illinois,-3.072971097,1,2008,-3.843994852,0.771023755,61.49502785,45.8169741,15.67805375,20.75,1,0.771023755,15.67805375,13074,12955,1438,12.08815187,0
1,Indiana,-2.532609414,1,2008,-3.332189376,0.799579962,86.15517128,66.02880211,20.12636917,20.75,1,0.799579962,20.12636917,13074,12955,1438,16.0926415,0
2,Iowa,-8.720587884,1,2008,-7.703209121,-1.017378763,17.40004703,22.22116426,-4.821117228,20.75,1,1.017378763,4.821117228,13074,12955,1438,4.904902283,0
3,Kansas,-1.50384817,1,2008,-0.895717177,-0.608130993,10.82476792,13.50080655,-2.676038629,20.75,1,0.608130993,2.676038629,13074,12955,1438,1.627382029,0
4,Minnesota,-13.40676536,1,2008,-12.71514028,-0.69162508,5.168517183,18.46845638,-13.2999392,20.75,1,0.69162508,13.2999392,13074,12955,1438,9.198571513,0
5,Missouri,-0.989969113,1,2008,-1.37979372,0.389824607,40.97967151,41.02513504,-0.045463531,20.75,1,0.389824607,0.045463531,13074,12955,1438,0.017722803,0
6,Nebraska,-6.134243832,1,2008,-4.29351024,-1.840733592,4.836912401,11.33713457,-6.500222173,20.75,1,1.840733592,6.500222173,13074,12955,1438,11.96517731,0
7,Ohio,-1.879506751,1,2008,-3.309437084,1.429930332,60.10582702,63.46647545,-3.360648428,20.75,1,1.429930332,3.360648428,13074,12955,1438,4.805493124,0
8,South Dakota,-8.889576186,1,2008,-7.740344819,-1.149231367,4.845046193,11.01537479,-6.170328596,20.75,1,1.149231367,6.170328596,13074,12955,1438,7.091135166,0
9,Wisconsin,-9.835967892,1,2008,-10.07375443,0.237786533,34.91187178,28.8626072,6.049264578,20.75,1,0.237786533,6.049264578,13074,12955,1438,1.43843365,0
10,Illinois,-6.614062324,1,2009,-3.843994852,-2.770067472,26.88033785,45.8169741,-18.93663625,21.5,1,2.770067472,18.93663625,12101,11950,1790,52.4557601,0
11,Indiana,-6.043936025,1,2009,-3.332189376,-2.711746649,46.2864565,66.02880211,-19.74234561,21.5,1,2.711746649,19.74234561,12101,11950,1790,53.53623955,0
