Cost_o_C,Month,Year,Slope
20.75,1,2008,1
24.5,2,2008,1
15.25,3,2008,1
23,4,2008,1
26.25,5,2008,1
34.25,6,2008,1
37.75,7,2008,1
39.25,8,2008,1
28.75,9,2008,1
28.25,10,2008,1
27,11,2008,1
20.25,12,2008,1
21.5,1,2009,1
19,2,2009,1
19.5,3,2009,1
18.75,4,2009,1
21.5,5,2009,1
20.25,6,2009,1
24.75,7,2009,1
17.75,8,2009,1
22.5,9,2009,1
20.25,10,2009,1
26,11,2009,1
19.75,12,2009,1
20.5,1,2010,1
22.25,2,2010,1
19.5,3,2010,1
17.5,4,2010,1
16.25,5,2010,1
19.75,6,2010,1
27,7,2010,1
27.5,8,2010,1
19.5,9,2010,1
17.25,10,2010,1
21.25,11,2010,1
12,12,2010,1
14.25,1,2011,1
14.75,2,2011,1
-41,3,2011,0
-33,4,2011,0
-93,5,2011,0
-27.25,6,2011,0
8.25,7,2011,1
27,8,2011,1
20.75,9,2011,1
16.25,10,2011,1
13.75,11,2011,1
15.25,12,2011,1
8.25,1,2012,1
6,2,2012,1
-57,3,2012,0
-67.75,4,2012,0
-92.5,5,2012,0
-36.5,6,2012,0
-37.5,7,2012,0
6.5,8,2012,1
2.5,9,2012,1
-7.75,10,2012,0
1,11,2012,1
0,12,2012,1
-3.75,1,2013,0
-18.5,2,2013,0
-134.75,3,2013,0
-80,4,2013,0
-119.75,5,2013,0
-105.5,6,2013,0
-30.5,7,2013,0
-2.25,8,2013,0
21,9,2013,1
21.25,10,2013,1
14.5,11,2013,1
15.25,12,2013,1
12.25,1,2014,1
10.75,2,2014,1
2,3,2014,1
2.75,4,2014,1
-2.75,5,2014,0
-1.25,6,2014,0
20,7,2014,1
19.5,8,2014,1
21,9,2014,1
22.5,10,2014,1
21.5,11,2014,1
15.5,12,2014,1
16,1,2015,1
15.75,2,2015,1
15.25,3,2015,1
15,4,2015,1
17.25,5,2015,1
15.5,6,2015,1
20.75,7,2015,1
23.5,8,2015,1
19,9,2015,1
15.25,10,2015,1
12.25,11,2015,1
12,12,2015,1
10.25,1,2016,1
9.75,2,2016,1
9.75,3,2016,1
4.75,4,2016,1
5.25,5,2016,1
12.5,6,2016,1
16.5,7,2016,1
19.25,8,2016,1
17.25,9,2016,1
16.5,10,2016,1
14.5,11,2016,1
14.25,12,2016,1
14.25,1,2017,1
14.5,2,2017,1
15,3,2017,1
13.25,4,2017,1
17.75,5,2017,1
18,6,2017,1
24.75,7,2017,1
26.25,8,2017,1
21,9,2017,1
22.75,10,2017,1
19.5,11,2017,1
16.5,12,2017,1
16.75,1,2018,1
15.75,2,2018,1
14.5,3,2018,1
16.5,4,2018,1
18.25,5,2018,1
